record_id,action,reason
http://zotero.org/users/19517875/items/6BWHIRMI,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/2VDIV29F,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/XV4T5H65,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/8U78K3V6,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/6HVS87NG,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/U9CWK6YX,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/35GHZZWS,quote_unverified,primary_evidence_quote_not_in_source_loose
http://zotero.org/users/19517875/items/5SJHLVTG,skip_duplicate,already_in_verdicts
http://zotero.org/users/19517875/items/NP52CJ6H,skip_duplicate,already_in_verdicts
http://zotero.org/users/19517875/items/6RUJIJLU,skip_duplicate,already_in_verdicts
http://zotero.org/users/19517875/items/UMJL4QP9,skip_duplicate,already_in_verdicts
http://zotero.org/users/19517875/items/ITDS83YU,skip_duplicate,already_in_verdicts
